simplified,zipf,nid,existing_decks,pinyin
了解,5.44,1537328244657,Archive::Words,liao3 jie3
感觉,5.44,1537328243531,Archive::Words,gan3 jue2
拥有,5.44,1393817668167,Archive::Words,yong1 you3
电话,5.44,1537328241616,Archive::Words,dian4 hua4
艺术,5.44,1537328247171,Archive::Words,yi4 shu4
解决,5.44,1537328244654,Archive::Words,jie3 jue2
传统,5.43,1393817667175,Archive::Words,chuan2 tong3
全球,5.43,1707757024225,Archive::Words,quan2 qiu2
其实,5.43,1393817666035,Archive::Words,qi2 shi2
独立,5.43,1537328242925,Archive::Words,du2 li4
超过,5.43,1537328244555,Archive::Words,chao1 guo4
韩国,5.43,1537328241159,Archive::Words,Han2 guo2
人类,5.42,1393817666919,Archive::Words,ren2 lei4
分析,5.42,1393817667128,Archive::Words,fen1 xi1
告诉,5.42,1537328241433,Archive::Words,gao4 su4
投资,5.42,1393817667227,Archive::Words,tou2 zi1
期间,5.42,1393817667314,Archive::Words,qi1 jian1
目标,5.42,1537328241548,Archive::Words,mu4 biao1
真正,5.42,1393817666318,Archive::Words,zhen1 zheng4
调查,5.42,1393817666330,Archive::Words,diao4 cha2
世纪,5.41,1393817666602,Archive::Words,shi4 ji4
严重,5.41,1393817666422,Archive::Words,yan2 zhong4
增加,5.41,1393817666641,Archive::Words,zeng1 jia1
帮助,5.41,1537328243308,Archive::Words,bang1 zhu4
并且,5.41,1393817666366,Personal,bing4 qie3
受到,5.40,1537328244355,Archive::Words,shou4 dao4
基础,5.40,1537328246972,Archive::Words,ji1 chu3
家庭,5.40,1393817666891,Archive::Words,jia1 ting2
第一,5.40,1537328241796,Archive::Words,di4 yi1
具有,5.39,1707757024250,Archive::Words,ju4 you3
实现,5.39,1537328244789,Archive::Words,shi2 xian4
控制,5.39,1537328247796,Archive::Words,kong4 zhi4
根本,5.39,1537328247607,Archive::Words,gen1 ben3
男人,5.39,1537328239990,Archive::Words,nan2 ren2
结束,5.39,1393817666019,Archive::Words,jie2 shu4
努力,5.38,1393817666044,Archive::Words,nu3 li4
如此,5.38,1537328247068,Archive::Words,ru2 ci3
媒体,5.38,1393817667156,Archive::Words,mei2 ti3
整个,5.38,1537328242146,Archive::Words,zheng3 ge4
群众,5.38,1393817669154,Archive::Words,qun2 zhong4
选举,5.38,1393817668539,Archive::Words,xuan3 ju3
以下,5.37,1537328241763,Archive::Words,yi3 xia4
制度,5.37,1537328247814,Archive::Words,zhi4 du4
欧洲,5.37,1537328245882,Archive::Words,Ou1 zhou1
每个,5.37,1537328240528,Archive::Words,mei3 ge4
比赛,5.37,1537328242565,Archive::Words,bi3 sai4
表现,5.37,1393817666869,Archive::Words,biao3 xian4
主席,5.36,1393817667433,Archive::Words,zhu3 xi2
以上,5.36,1537328241762,Archive::Words,yi3 shang4
以来,5.36,1393817667108,Archive::Words,yi3 lai2
办法,5.36,1537328242727,Archive::Words,ban4 fa3
图片,5.36,1537328243777,Archive::Words,tu2 pian4
革命,5.36,1393817668786,Archive::Words,ge2 ming4
价值,5.35,1537328246187,Archive::Words,jia4 zhi2
基本,5.35,1393817667127,Archive::Words,ji1 ben3
导致,5.35,1393817667130,Archive::Words,dao3 zhi4
注意,5.35,1537328240292,Archive::Words,zhu4 yi4
的话,5.35,1537328241600,Archive::Words,de5 hua4
离开,5.35,1537328241948,Archive::Words,li2 kai1
除了,5.35,1537328241777,Archive::Words,chu2 le5
反对,5.34,1537328244423,Archive::Words,fan3 dui4
建筑,5.34,1393817667236,Archive::Words,jian4 zhu4
形成,5.34,1393817667566,Archive::Words,xing2 cheng2
数据,5.34,1393817667209,Archive::Words,shu4 ju4
银行,5.34,1393817666107,Archive::Words,yin2 hang2
音乐,5.34,1393817666070,Archive::Words,yin1 yue4
之一,5.33,1537328241837,Archive::Words,zhi1 yi1
变化,5.33,1537328246047,Archive::Words,bian4 hua4
增长,5.33,1537328247977,Archive::Words,zeng1 zhang3
官方,5.33,1393817668692,Archive::Words,guan1 fang1
德国,5.33,1537328245481,Archive::Words,De2 guo2
是不是,5.33,1707755853634,Archive::Characters,shi4 bu4 shi4
显示,5.33,1393817667066,Archive::Words,xian3 shi4
经验,5.33,1393817666564,Archive::Words,jing1 yan4
专家,5.32,1537328246847,Archive::Words,zhuan1 jia1
价格,5.32,1537328248110,Archive::Words,jia4 ge2
医院,5.32,1393817665755,Archive::Words,yi1 yuan4
建议,5.32,1537328246509,Archive::Words,jian4 yi4
指出,5.32,1537328247390,Archive::Words,zhi3 chu1
条件,5.32,1393817666555,Archive::Words,tiao2 jian4
标准,5.32,1393817666615,Archive::Words,biao1 zhun3
部门,5.32,1393817667126,Archive::Words,bu4 men2
改革,5.31,1393817667914,Archive::Words,gai3 ge2
母亲,5.31,1537328245051,Archive::Words,mu3 qin1
系列,5.31,1393817668389,Archive::Words,xi4 lie4
联系,5.31,1537328242213,Archive::Words,lian2 xi4
警察,5.31,1393817666284,Archive::Words,jing3 cha2
记录,5.31,1393817666903,Archive::Words,ji4 lu4
不仅,5.30,1393817666621,Archive::Words,bu4 jin3
人物,5.30,1393817667056,Archive::Words,ren2 wu4
别人,5.30,1393817666005,Archive::Words,bie2 ren5
意见,5.30,1537328240295,Archive::Words,yi4 jian4
执行,5.30,1393817668242,Archive::Words,zhi2 xing2
用户,5.30,1393817669181,Archive::Words,yong4 hu4
确定,5.30,1393817666863,Archive::Words,que4 ding4
解释,5.30,1537328244686,Archive::Words,jie3 shi4
中央,5.29,1393817668382,Archive::Words,zhong1 yang1
以前,5.29,1537328241748,Archive::Words,yi3 qian2
俄罗斯,5.29,1705869932449,Archive::Words,E2 luo2 si1
关注,5.29,1537328240291,Archive::Words,guan1 zhu4
分别,5.29,1393817667685,Archive::Words,fen1 bie2
区域,5.29,1537328245524,Archive::Words,qu1 yu4
工程,5.29,1537328247838,Archive::Words,gong1 cheng2
父亲,5.29,1393817666279,Archive::Words,fu4 qin1
简单,5.29,1537328241261,Archive::Words,jian3 dan1
结构,5.29,1393817667656,Archive::Words,jie2 gou4
综合,5.29,1393817667862,Archive::Words,zong1 he2
讨论,5.29,1393817666430,Archive::Words,tao3 lun4
采用,5.29,1707757024460,Archive::Words,cai3 yong4
不到,5.28,1537328247061,Archive::Words,bu4 dao4
全部,5.28,1393817666391,Archive::Words,quan2 bu4
发表,5.28,1537328245794,Archive::Words,fa1 biao3
宣布,5.28,1393817667133,Archive::Words,xuan1 bu4
最近,5.28,1537328241845,Archive::Words,zui4 jin4
社区,5.28,1537328245519,Archive::Words,she4 qu1
那里,5.28,1537328240667,Archive::Words,na4 li5
介绍,5.27,1537328243092,Archive::Words,jie4 shao4
以为,5.27,1393817666269,Archive::Words,yi3 wei2
坚持,5.27,1393817666396,Archive::Words,jian1 chi2
学院,5.27,1537328242051,Archive::Words,xue2 yuan4
意思,5.27,1393817665850,Archive::Words,yi4 si5
范围,5.27,1393817667142,Archive::Words,fan4 wei2
例如,5.26,1537328243447,Archive::Words,li4 ru2
共同,5.26,1393817666639,Archive::Words,gong4 tong2
力量,5.26,1537328245663,Archive::Words,li4 liang5
取得,5.26,1707756790449,Archive::Words,qu3 de2
实施,5.26,1393817668695,Archive::Words,shi2 shi1
旅游,5.26,1537328243287,Archive::Words,lu:3 you2
民族,5.26,1393817666774,Archive::Words,min2 zu2
组成,5.26,1393817667553,Archive::Words,zu3 cheng2
保证,5.25,1393817666310,Archive::Words,bao3 zheng4
健康,5.25,1393817666132,Archive::Words,jian4 kang1
大量,5.25,1707756790459,Archive::Words,da4 liang4
实际,5.25,1393817666682,Archive::Words,shi2 ji4
容易,5.25,1537328244835,Personal|Personal-reverse,rong2 yi4
持续,5.25,1537328247124,Archive::Words,chi2 xu4
电视,5.25,1393817665759,Archive::Words,dian4 shi4
看看,5.25,1537328240610,Archive::Words,kan4 kan5
精神,5.25,1537328246775,Archive::Words,jing1 shen2
考虑,5.25,1393817666332,Archive::Words,kao3 lu:4
位于,5.24,1393817667636,Archive::Words,wei4 yu2
免费,5.24,1537328240570,Archive::Words,mian3 fei4
印度,5.24,1537328247817,Archive::Words,Yin4 du4
变成,5.24,1537328244728,Archive::Words,bian4 cheng2
另外,5.24,1393817666375,Archive::Words,ling4 wai4
声音,5.24,1393817666058,Archive::Words,sheng1 yin1
妈妈,5.24,1393817665711,Archive::Words,ma1 ma5
应用,5.24,1393817667973,Archive::Words,ying4 yong4
最终,5.24,1537328247602,Archive::Words,zui4 zhong1
汽车,5.24,1537328242666,Archive::Words,qi4 che1
空间,5.24,1393817667134,Archive::Words,kong1 jian1
终于,5.24,1537328244775,Archive::Words,zhong1 yu2
设备,5.24,1393817667223,Personal,she4 bei4
足球,5.24,1537328240485,Archive::Words,zu2 qiu2
里面,5.24,1537328240694,Archive::Words,li3 mian4
领域,5.24,1393817667526,Archive::Words,ling3 yu4
几乎,5.23,1537328247085,Archive::Words,ji1 hu1
分钟,5.23,1393817665739,Archive::Words,fen1 zhong1
意义,5.23,1393817666932,Archive::Words,yi4 yi4
文章,5.23,1393817666613,Archive::Words,wen2 zhang1
生命,5.23,1393817666342,Archive::Words,sheng1 ming4
面积,5.23,1537328247021,Archive::Words,mian4 ji1
亚洲,5.22,1393817666741,Archive::Words,Ya4 zhou1
唯一,5.22,1537328246006,Archive::Words,wei2 yi1
居民,5.22,1537328247500,Archive::Words,ju1 min2
所谓,5.22,1537328247631,Archive::Words,suo3 wei4
曾经,5.22,1537328247979,Archive::Words,ceng2 jing1
真是,5.22,1708747483662,Archive::Words,zhen1 shi5
结合,5.22,1393817667522,Archive::Words,jie2 he2
统一,5.22,1537328246865,Archive::Words,Tong3 yi1
肯定,5.22,1537328244630,Archive::Words,ken3 ding4
人士,5.21,1537328248133,Archive::Words,ren2 shi4
大陆,5.21,1707757130263,Archive::Words,Da4 lu4
官员,5.21,1707757569236,Archive::Words,guan1 yuan2
引起,5.21,1537328247082,Archive::Words,yin3 qi3
明显,5.21,1393817666951,Archive::Words,ming2 xian3
现场,5.21,1537328244467,Archive::Words,xian4 chang3
现象,5.21,1537328244397,Archive::Words,xian4 xiang4
确实,5.21,1393817666308,Archive::Words,que4 shi2
稳定,5.21,1393817667206,Archive::Words,wen3 ding4
重新,5.21,1537328244085,Personal|Personal-reverse,chong2 xin1
加强,5.20,1537328246023,Archive::Words,jia1 qiang2
强调,5.20,1537328246022,Archive::Words,qiang2 diao4
总是,5.20,1537328241657,Archive::Words,zong3 shi4
教师,5.20,1537328242711,Archive::Words,jiao4 shi1
模式,5.20,1537328247758,Archive::Words,mo2 shi4
死亡,5.20,1393817668166,Archive::Words,si3 wang2
职业,5.20,1393817666503,Archive::Words,zhi2 ye4
联合,5.20,1393817667435,Archive::Words,lian2 he2
西方,5.20,1537328240804,Archive::Words,Xi1 fang1
也许,5.19,1393817666258,Archive::Words,ye3 xu3
宣传,5.19,1393817667402,Archive::Words,xuan1 chuan2
带来,5.19,1537328248040,Archive::Words,dai4 lai2
更加,5.19,1537328245413,Archive::Words,geng4 jia1
每天,5.19,1537328240531,Archive::Words,mei3 tian1
节目,5.19,1393817666047,Archive::Words,jie2 mu4
阅读,5.19,1393817666759,Archive::Words,yue4 du2
事实,5.18,1393817666890,Archive::Words,shi4 shi2
公民,5.18,1537328247469,Archive::Words,gong1 min2
实行,5.18,1393817669207,Archive::Words,shi2 xing2
感到,5.18,1537328243535,Archive::Words,gan3 dao4
愿意,5.18,1393817666021,Archive::Words,yuan4 yi4
来源,5.18,1393817668493,Archive::Words,lai2 yuan2
理解,5.18,1537328244658,Archive::Words,li3 jie3
知识,5.18,1393817666702,Archive::Words,zhi1 shi5
责任,5.18,1537328247387,Archive::Words,ze2 ren4
长期,5.18,1707757024402,Archive::Words,chang2 qi1
飞机,5.18,1393817665757,Archive::Words,fei1 ji1
保持,5.17,1537328247122,Archive::Words,bao3 chi2
内部,5.17,1393817667256,Archive::Words,nei4 bu4
农民,5.17,1537328247468,Archive::Words,nong2 min2
减少,5.17,1537328247908,Archive::Words,jian3 shao3
失去,5.17,1393817666876,Archive::Words,shi1 qu4
女孩,5.17,1537328239994,Archive::Words,nu:3 hai2
形式,5.17,1537328247707,Archive::Words,xing2 shi4
报道,5.17,1393817667062,Archive::Words,bao4 dao4
攻击,5.17,1393817668189,Archive::Words,gong1 ji1
机场,5.17,1393817665917,Archive::Words,ji1 chang3
欢迎,5.17,1537328241705,Archive::Words,huan1 ying2
状态,5.17,1537328247846,Archive::Words,zhuang4 tai4
真实,5.17,1393817666976,Archive::Words,zhen1 shi2
经历,5.17,1393817666383,Archive::Words,jing1 li4
规模,5.17,1537328247759,Archive::Words,gui1 mo2
错误,5.17,1537328245350,Archive::Words,cuo4 wu4
仍然,5.16,1537328247415,Archive::Words,reng2 ran2
动物,5.16,1393817666114,Archive::Words,dong4 wu4
反应,5.16,1393817666997,Archive::Words,fan3 ying4
承认,5.16,1393817666933,Archive::Words,cheng2 ren4
此外,5.16,1537328247679,Archive::Words,ci3 wai4
清楚,5.16,1537328242789,Archive::Words,qing1 chu5
积极,5.16,1537328247018,Archive::Words,ji1 ji2
经营,5.16,1393817667414,Archive::Words,jing1 ying2
绝对,5.16,1537328247854,Archive::Words,jue2 dui4
苏联,5.16,1708747485203,Archive::Words,Su1 lian2
谢谢,5.16,1393817665693,Archive::Words,xie4 xie5
采取,5.16,1393817667309,Archive::Words,cai3 qu3
不想,5.15,1708747484841,Archive::Words,bu4 xiang3
体育,5.15,1393817666202,Archive::Words,ti3 yu4
农村,5.15,1537328247460,Archive::Words,nong2 cun1
分享,5.15,1537328244334,Archive::Words,fen1 xiang3
到底,5.15,1537328247926,Archive::Words,dao4 di3
同意,5.15,1393817666053,Archive::Words,tong2 yi4
好像,5.15,1393817666283,Archive::Words,hao3 xiang4
尤其,5.15,1537328246965,Archive::Words,you2 qi2
尽管,5.15,1393817666455,Personal,jin3 guan3
方案,5.15,1537328247312,Archive::Words,fang1 an4
每年,5.15,1708747488721,Archive::Words,mei3 nian2
第一次,5.15,1708747484397,Archive::Words,di4 yi1 ci4
创新,5.14,1393817669329,Archive::Words,chuang4 xin1
协议,5.14,1393817668236,Archive::Words,xie2 yi4
即使,5.14,1393817666399,Archive::Words,ji2 shi3
在于,5.14,1537328247565,Archive::Words,zai4 yu2
工具,5.14,1393817667245,Archive::Words,gong1 ju4
总理,5.14,1537328241660,Archive::Words,zong3 li3
无论,5.14,1393817666446,Archive::Words,wu2 lun4
晚上,5.14,1537328240574,Archive::Words,wan3 shang5
类似,5.14,1393817668301,Archive::Words,lei4 si4
设立,5.14,1393817669269,Archive::Words,she4 li4
资金,5.14,1537328246462,Archive::Words,zi1 jin1
限制,5.14,1393817667427,Archive::Words,xian4 zhi4
不再,5.13,1707757316263,Archive::Words,bu4 zai4
交通,5.13,1537328245071,Archive::Words,jiao1 tong1
利益,5.13,1393817667450,Archive::Words,li4 yi4
制作,5.13,1537328247789,Archive::Words,zhi4 zuo4
加拿大,5.13,1537328241456,Archive::Words,Jia1 na2 da4
压力,5.13,1393817666460,Archive::Words,ya1 li4
宪法,5.13,1393817668906,Archive::Words,xian4 fa3
电脑,5.13,1537328241585,Archive::Words,dian4 nao3
破坏,5.13,1393817667015,Archive::Words,po4 huai4
突然,5.13,1537328245123,Archive::Words,tu1 ran2
规律,5.13,1393817667827,Archive::Words,gui1 lu:4
说话,5.13,1537328241604,Archive::Words,shuo1 hua4
部长,5.13,1707757024324,Archive::Words,bu4 zhang3
金融,5.13,1393817669142,Archive::Words,jin1 rong2
不了,5.12,1708747484612,Archive::Words,bu4 le5
不错,5.12,1537328242115,Archive::Words,bu4 cuo4
中共,5.12,1708747498939,Archive::Words,Zhong1 Gong4
主任,5.12,1537328247357,Archive::Words,zhu3 ren4
举办,5.12,1537328245622,Archive::Words,ju3 ban4
交流,5.12,1393817666634,Archive::Words,jiao1 liu2
作者,5.12,1537328244198,Archive::Words,zuo4 zhe3
制造,5.12,1393817667110,Archive::Words,zhi4 zao4
医疗,5.12,1707757129928,Archive::Words,yi1 liao2
同志,5.12,1393817668216,Archive::Words,tong2 zhi4
团体,5.12,1537328243386,Archive::Words,tuan2 ti3
委员,5.12,1393817669676,Archive::Words,wei3 yuan2
宗教,5.12,1393817668364,Archive::Words,zong1 jiao4
意识,5.12,1393817668176,Archive::Words,yi4 shi2
正确,5.12,1393817666413,Archive::Words,zheng4 que4
版本,5.12,1393817668756,Archive::Words,ban3 ben3
训练,5.12,1393817666966,Archive::Words,xun4 lian4
逐渐,5.12,1393817667682,Archive::Words,zhu2 jian4
销售,5.12,1393817667454,Archive::Words,xiao1 shou4
附近,5.12,1393817666101,Archive::Words,fu4 jin4
不少,5.11,1707756790313,Archive::Words,bu4 shao3
人数,5.11,1537328247621,Archive::Words,ren2 shu4
儿童,5.11,1537328245627,Archive::Words,er2 tong2
允许,5.11,1537328246173,Archive::Words,yun3 xu3
出版,5.11,1393817667475,Archive::Words,chu1 ban3
国务院,5.11,1393817669620,Archive::Words,Guo2 wu4 yuan4
失败,5.11,1537328246523,Archive::Words,shi1 bai4
快乐,5.11,1393817665884,Archive::Words,kuai4 le4
战略,5.11,1393817668892,Archive::Words,zhan4 lu:e4
推动,5.11,1707757024564,Archive::Words,tui1 dong4
教授,5.11,1537328245865,Archive::Words,jiao4 shou4
有效,5.11,1537328247743,Archive::Words,you3 xiao4
程度,5.11,1393817667201,Archive::Words,cheng2 du4
编辑,5.11,1393817667443,Archive::Words,bian1 ji2
联盟,5.11,1537328245901,Archive::Words,lian2 meng2
质量,5.11,1537328245677,Archive::Words,zhi4 liang4
资本,5.11,1393817669708,Archive::Words,zi1 ben3
阶段,5.11,1393817667345,Archive::Words,jie1 duan4
业务,5.10,1393817667709,Archive::Words,ye4 wu4
体系,5.10,1393817669220,Archive::Words,ti3 xi4
协会,5.10,1393817668483,Archive::Words,xie2 hui4
双方,5.10,1393817667610,Archive::Words,shuang1 fang1
困难,5.10,1537328247046,Archive::Words,kun4 nan5
态度,5.10,1393817666597,Archive::Words,tai4 du5
数字,5.10,1393817666572,Archive::Words,shu4 zi4
检查,5.10,1393817666069,Archive::Words,jian3 cha2
武器,5.10,1393817668173,Archive::Words,wu3 qi4
状况,5.10,1537328247847,Archive::Words,zhuang4 kuang4
申请,5.10,1537328246787,Archive::Words,shen1 qing3
第二,5.10,1708747484462,Archive::Words,di4 er4
调整,5.10,1393817667463,Archive::Words,tiao2 zheng3
购买,5.10,1537328246928,Archive::Words,gou4 mai3
需求,5.10,1537328244855,Archive::Words,xu1 qiu2
危险,5.09,1537328248044,Archive::Words,wei1 xian3
商业,5.09,1393817667406,Archive::Words,shang1 ye4
妇女,5.09,1393817667467,Archive::Words,fu4 nu:3
广场,5.09,1537328244526,Archive::Words,guang3 chang3
拒绝,5.09,1393817666437,Archive::Words,ju4 jue2
治疗,5.09,1393817666941,Archive::Words,zhi4 liao2
现实,5.09,1393817667034,Archive::Words,xian4 shi2
监督,5.09,1393817668904,Archive::Words,jian1 du1
网址,5.09,1537328245006,Archive::Words,wang3 zhi3
规划,5.09,1537328246878,Archive::Words,gui1 hua4
速度,5.09,1537328247901,Archive::Words,su4 du4
针对,5.09,1537328247403,Archive::Words,zhen1 dui4
面对,5.09,1393817666973,Archive::Words,mian4 dui4
主题,5.08,1537328245645,Archive::Words,zhu3 ti2
再次,5.08,1707757235937,Archive::Words,zai4 ci4
创作,5.08,1393817668686,Archive::Words,chuang4 zuo4
及其,5.08,1707757571104,Archive::Words,ji2 qi2
召开,5.08,1393817667840,Archive::Words,zhao4 kai1
